loan_application_no,disbursed_date,disbursed_amount,source_entity_name,final_tpv,score,gender,age,industryy,status,city,state,pincode,disbursed_year,disbursed_month,disbursed_quarter,score_band,age_band,city_clean,is_metro_city,loan_to_tpv,amount_per_age,amount_x_score,predicted_income
1,2025-08-28,17879.0,TTT,7500.0,838,Male,51.0,Others,DISBURSED,Central Delhi,Delhi,110006.0,2025.0,8.0,3.0,>750,46-60,central delhi,0,2.3838666666666666,350.5686274509804,14982602.0,7500.0
2,2025-08-28,166740.0,PPP,57640.66,753,Male,25.0,Food & Beverages,DISBURSED,East Delhi,Delhi,110053.0,2025.0,8.0,3.0,>750,22-25,east delhi,0,2.8927496666415684,6669.6,125555220.0,57540.90935000009
3,2025-08-28,287610.0,PPP,97925.33,775,Male,47.0,Food & Beverages,DISBURSED,Hyderabad,Telangana,500072.0,2025.0,8.0,3.0,>750,46-60,hyderabad,1,2.9370337582727575,6119.36170212766,222897750.0,97167.53874999985
4,2025-08-28,23525.0,TTT,17500.0,684,Female,37.0,Retail And Shopping,DISBURSED,Mumbai,Maharashtra,401208.0,2025.0,8.0,3.0,600-699,36-45,mumbai,1,1.3442857142857143,635.8108108108108,16091100.0,17408.688000000002
5,2025-08-27,80035.0,PPP,27835.66,757,Male,36.0,Grocery And Daily Needs,DISBURSED,Lucknow,Uttar Pradesh,226018.0,2025.0,8.0,3.0,>750,36-45,lucknow,0,2.875268630239053,2223.1944444444443,60586495.0,27863.043650000058
6,2025-08-27,193657.0,PPP,184055.66,767,Male,34.0,Food & Beverages,DISBURSED,North Parganas,West Bengal,700135.0,2025.0,8.0,3.0,>750,31-35,north parganas,0,1.0521654156139506,5695.794117647059,148534919.0,183358.30359999984
7,2025-08-28,287610.0,PPP,159207.33,773,Male,22.0,Food & Beverages,DISBURSED,Etawah,Uttar Pradesh,206001.0,2025.0,8.0,3.0,>750,22-25,etawah,0,1.8065123006585189,13073.181818181818,222322530.0,158766.66619999948
8,2025-08-27,116241.0,PPP,103785.33,757,Male,24.0,Retail And Shopping,DISBURSED,Khorda,Odisha,752050.0,2025.0,8.0,3.0,>750,22-25,khorda,0,1.1200137822946654,4843.375,87994437.0,103212.73004999981
9,2025-08-27,30112.0,TTT,12500.0,699,Male,28.0,Others,DISBURSED,PURI,Odisha,752002.0,2025.0,8.0,3.0,600-699,26-30,puri,0,2.40896,1075.4285714285713,21048288.0,12483.465
10,2025-08-27,53637.0,TTT,22500.0,776,Male,55.0,Retail And Shopping,DISBURSED,KVRangareddy,Telangana,500008.0,2025.0,8.0,3.0,>750,46-60,kvrangareddy,0,2.3838666666666666,975.2181818181818,41622312.0,22487.43715
11,2025-08-27,94100.0,TTT,32500.0,695,Male,37.0,Others,DISBURSED,Panipat District,Haryana,132104.0,2025.0,8.0,3.0,600-699,36-45,panipat district,0,2.8953846153846152,2543.2432432432433,65399500.0,32464.763150000002
12,2025-08-27,23525.0,TTT,12500.0,743,Male,39.0,Grocery And Daily Needs,DISBURSED,MUZAFFARNAGAR,Uttar Pradesh,251311.0,2025.0,8.0,3.0,700-749,36-45,muzaffarnagar,0,1.882,603.2051282051282,17479075.0,12504.93
13,2025-08-27,70796.0,TTT,102500.0,764,Female,33.0,Retail And Shopping,DISBURSED,Pimpri,Maharashtra,411039.0,2025.0,8.0,3.0,>750,31-35,pimpri,0,0.6906926829268293,2145.3333333333335,54088144.0,103209.32630000002
14,2025-08-27,112330.0,TTT,27500.0,728,Male,22.0,Food & Beverages,DISBURSED,LUDHIANA,Punjab,141008.0,2025.0,8.0,3.0,700-749,22-25,ludhiana,0,4.084727272727273,5105.909090909091,81776240.0,27576.8539
15,2025-08-20,100044.0,PPP,33832.5,782,Male,35.0,Grocery And Daily Needs,DISBURSED,East Midnapore,West Bengal,721633.0,2025.0,8.0,3.0,>750,31-35,east midnapore,0,2.957038350698293,2858.4,78234408.0,34044.24085000007
16,2025-08-20,48592.0,PPP,13133.0,773,Female,45.0,Retail And Shopping,DISBURSED,Bengaluru,Karnataka,562106.0,2025.0,8.0,3.0,>750,36-45,bengaluru,1,3.699992385593543,1079.8222222222223,37561616.0,13202.085200000005
17,2025-08-18,70575.0,TTT,37500.0,746,Male,48.0,Food & Beverages,DISBURSED,Cumbum Ap,Andhra Pradesh,523333.0,2025.0,8.0,3.0,700-749,46-60,cumbum ap,0,1.882,1470.3125,52648950.0,37327.29710000001
18,2025-08-18,17879.0,TTT,7500.0,737,Male,39.0,Food & Beverages,DISBURSED,Jaipur,Rajasthan,302001.0,2025.0,8.0,3.0,700-749,36-45,jaipur,0,2.3838666666666666,458.43589743589746,13176823.0,7500.0
